Name,Formula,#CH3,#CH2,#CH,#C,#OH,#C-O-C,#O=C,DBA,#N,#Hal,O:C,M / g/mol,Tm / K,Tg / K,Tg/Tm,Tm/Tg,#S,#branching,#C:#OH,DBA:#C,#CH:#C,#Hal:#C
glucose,C6H12O6,0,1,4,1,5,0,1,1,0,0,1.0,180.0,419.675,300.6666667,0.716427394,1.395814856,0,5,0.2,1.0,4.0,0.0
dextrose,C6H12O6,0,1,4,1,5,0,1,1,0,0,1.0,180.0,432.0,310.0,0.717592593,1.393548387,0,5,0.2,1.0,4.0,0.0
tartaric acid,C4H6O6,0,0,2,2,4,0,2,2,0,0,1.5,150.0,430.0,288.775,0.671569767,1.489048567,0,4,0.5,1.0,1.0,0.0
"1,2,3-propanetricarboxylic acid",C6H8O6,0,2,1,3,3,0,3,3,0,0,1.0,176.0,431.15,276.45,0.641192161,1.559594863,0,4,1.0,1.0,0.3333333333333333,0.0
"1,2,4-butanetricarboxylic acid",C7H10O6,0,3,1,3,3,0,3,3,0,0,0.8571,190.0,391.65,272.8,0.696540278,1.435667155,0,4,1.0,1.0,0.3333333333333333,0.0
glycerol,C3H8O3,0,2,1,0,3,0,0,0,0,0,1.0,92.0,291.2916667,186.15,0.639050207,1.564822276,0,1,0.0,0.0,0.0,0.0
ribose,C5H10O5,0,1,3,1,5,0,1,1,0,0,1.2,166.0,360.6666667,259.3333333,0.719038817,1.390745502,0,4,0.2,1.0,3.0,0.0
ribose,C5H10O5,0,1,3,1,4,0,1,1,0,0,1.0,150.0,360.6666667,259.3333333,0.719038817,1.390745502,0,4,0.25,1.0,3.0,0.0
ethanol,C2H6O,1,1,0,0,1,0,0,0,0,0,0.5,46.0,159.6716667,95.55,0.598415498,1.671079714,0,0,0.0,0.0,0.0,0.0
n-propanol,C3H8O,1,2,0,0,1,0,0,0,0,0,0.3333,60.0,147.9714286,97.57142857,0.659393705,1.516544656,0,0,0.0,0.0,0.0,0.0
methanol,CH4O,1,0,0,0,1,0,0,0,0,0,1.0,32.0,175.465,102.1,0.581882427,1.718560235,0,0,0.0,0.0,0.0,0.0
ethylenglycol,C2H6O2,0,2,0,0,2,0,0,0,0,0,1.0,62.0,260.23,151.5,0.582177305,1.717689769,0,0,0.0,0.0,0.0,0.0
phenolphthalein,C20H14O4,0,0,12,8,2,1,1,14,0,0,0.2,318.0,534.8833333,356.0,0.6655657,1.502481273,0,20,4.0,1.75,1.5,0.0
